['2023-08-11 01:17:40', '***** BK Solution Work Logger Start *****']
['2023-08-11 01:18:44', '***** BK Solution Work Logger Start *****']
['2023-08-11 01:18:51', 'cam_initialCamera is in initializing...']
['2023-08-11 01:18:51', 'cam_initialCamera initial is done']
['2023-08-11 01:18:51', 'cam_initial']
['2023-08-11 01:18:56', '180 mm']
['2023-08-11 01:18:56', 'Job_UpdateSensorDistance->is_good_to_go: True']
['2023-08-11 01:18:56', 'Job_UpdateSensorDistance->handle: -180 mm']
['2023-08-11 01:18:56', 'Job_CheckSensorDistance->is_good_to_go: True']
['2023-08-11 01:18:56', 'Job_CheckSensorDistance->handle: False']
['2023-08-11 01:18:58', '175 mm']
['2023-08-11 01:18:58', 'Job_UpdateSensorDistance->is_good_to_go: True']
['2023-08-11 01:18:58', 'Job_UpdateSensorDistance->handle: 5 mm']
['2023-08-11 01:18:58', 'Job_CheckSensorDistance->is_good_to_go: True']
['2023-08-11 01:18:58', 'Job_CheckSensorDistance->handle: False']
['2023-08-11 01:19:00', '159 mm']
['2023-08-11 01:19:00', 'Job_UpdateSensorDistance->is_good_to_go: True']
['2023-08-11 01:19:00', 'Job_UpdateSensorDistance->handle: 16 mm']
['2023-08-11 01:19:00', 'Job_CheckSensorDistance->is_good_to_go: True']
['2023-08-11 01:19:00', 'Job_CheckSensorDistance->handle: False']
['2023-08-11 01:19:02', '147 mm']
['2023-08-11 01:19:02', 'Job_UpdateSensorDistance->is_good_to_go: True']
['2023-08-11 01:19:02', 'Job_UpdateSensorDistance->handle: 12 mm']
['2023-08-11 01:19:02', 'Job_CheckSensorDistance->is_good_to_go: True']
['2023-08-11 01:19:02', 'Job_CheckSensorDistance->handle: False']
['2023-08-11 01:19:02', '137 mm']
['2023-08-11 01:19:02', 'Job_UpdateSensorDistance->is_good_to_go: True']
['2023-08-11 01:19:02', 'Job_UpdateSensorDistance->handle: 10 mm']
['2023-08-11 01:19:02', 'Job_CheckSensorDistance->is_good_to_go: True']
['2023-08-11 01:19:02', 'Job_CheckSensorDistance->handle: False']
['2023-08-11 01:19:02', '137 mm']
['2023-08-11 01:19:02', 'Job_UpdateSensorDistance->is_good_to_go: True']
['2023-08-11 01:19:02', 'Job_UpdateSensorDistance->handle: 0 mm']
['2023-08-11 01:19:02', 'Job_CheckSensorDistance->is_good_to_go: True']
['2023-08-11 01:19:02', 'Job_CheckSensorDistance->handle: True']
['2023-08-11 01:19:02', 'Job_AskGrabImage->is_good_to_go: True']
['2023-08-11 01:19:02', 'Job_AskGrabImage->handle']
['2023-08-11 01:19:02', '137 mm']
['2023-08-11 01:19:02', 'Job_UpdateSensorDistance->is_good_to_go: True']
['2023-08-11 01:19:02', 'Job_UpdateSensorDistance->handle: 0 mm']
['2023-08-11 01:19:02', 'Job_CheckSensorDistance->is_good_to_go: True']
['2023-08-11 01:19:02', 'Job_CheckSensorDistance->handle: True']
['2023-08-11 01:19:02', 'Job_AskGrabImage->is_good_to_go: True']
['2023-08-11 01:19:02', 'Job_AskGrabImage->handle']
['2023-08-11 01:19:02', '137 mm']
['2023-08-11 01:19:02', 'imagesave_thread./ImageSave_2023-08-11/20230811_011902.png Saved']
['2023-08-11 01:19:02', '137 mm']
['2023-08-11 01:19:02', '137 mm']
['2023-08-11 01:19:02', 'Job_UpdateSensorDistance->is_good_to_go: True']
['2023-08-11 01:19:02', 'Job_UpdateSensorDistance->handle: 0 mm']
['2023-08-11 01:19:02', 'Job_UpdateSensorDistance->is_good_to_go: True']
['2023-08-11 01:19:02', 'Job_UpdateSensorDistance->handle: 0 mm']
['2023-08-11 01:19:02', 'Job_UpdateSensorDistance->is_good_to_go: True']
['2023-08-11 01:19:02', 'Job_UpdateSensorDistance->handle: 0 mm']
['2023-08-11 01:19:02', 'Job_CheckSensorDistance->is_good_to_go: True']
['2023-08-11 01:19:02', 'Job_CheckSensorDistance->handle: True']
['2023-08-11 01:19:02', 'Job_CheckSensorDistance->is_good_to_go: True']
['2023-08-11 01:19:02', 'Job_CheckSensorDistance->handle: True']
['2023-08-11 01:19:02', 'Job_CheckSensorDistance->is_good_to_go: True']
['2023-08-11 01:19:02', 'Job_CheckSensorDistance->handle: True']
['2023-08-11 01:19:02', 'Job_AskGrabImage->is_good_to_go: True']
['2023-08-11 01:19:02', 'Job_AskGrabImage->handle']
['2023-08-11 01:19:02', 'imagesave_thread./ImageSave_2023-08-11/20230811_011902.png Saved']
['2023-08-11 01:19:02', '137 mm']
['2023-08-11 01:19:02', '137 mm']
['2023-08-11 01:19:02', '137 mm']
