['2023-08-10 02:00:35', '***** BK Solution Work Logger Start *****']
['2023-08-10 02:00:39', 'Job_UpdateSensorDistance->is_good_to_go: True']
['2023-08-10 02:00:39', 'Job_UpdateSensorDistance->handle: -105 mm']
['2023-08-10 02:00:39', 'Job_CheckSensorDistance->is_good_to_go: True']
['2023-08-10 02:00:39', 'Job_CheckSensorDistance->handle: False']
['2023-08-10 02:00:39', 'Job_UpdateSensorDistance->is_good_to_go: True']
['2023-08-10 02:00:39', 'Job_UpdateSensorDistance->handle: 0 mm']
['2023-08-10 02:00:39', 'Job_CheckSensorDistance->is_good_to_go: True']
['2023-08-10 02:00:39', 'Job_CheckSensorDistance->handle: True']
['2023-08-10 02:00:39', 'Job_AskGrabImage->is_good_to_go: True']
['2023-08-10 02:00:39', 'Job_AskGrabImage->handle']
['2023-08-10 02:01:57', '***** BK Solution Work Logger Start *****']
['2023-08-10 02:02:04', 'Job_UpdateSensorDistance->is_good_to_go: True']
['2023-08-10 02:02:04', 'Job_UpdateSensorDistance->handle: -106 mm']
['2023-08-10 02:02:04', 'Job_CheckSensorDistance->is_good_to_go: True']
['2023-08-10 02:02:04', 'Job_CheckSensorDistance->handle: False']
['2023-08-10 02:02:04', 'Job_UpdateSensorDistance->is_good_to_go: True']
['2023-08-10 02:02:04', 'Job_UpdateSensorDistance->handle: 0 mm']
['2023-08-10 02:02:04', 'Job_CheckSensorDistance->is_good_to_go: True']
['2023-08-10 02:02:04', 'Job_CheckSensorDistance->handle: True']
['2023-08-10 02:02:04', 'Job_AskGrabImage->is_good_to_go: True']
['2023-08-10 02:02:04', 'Job_AskGrabImage->handle']
['2023-08-10 02:02:36', 'startCamera is in initializing...']
['2023-08-10 02:02:36', 'cam_initial']
['2023-08-10 02:02:36', 'startCamera initial is done']
['2023-08-10 02:03:55', '***** BK Solution Work Logger Start *****']
['2023-08-10 02:04:04', 'startCamera is in initializing...']
['2023-08-10 02:04:04', 'cam_initial']
['2023-08-10 02:04:04', 'startCamera initial is done']
['2023-08-10 02:05:32', '***** BK Solution Work Logger Start *****']
['2023-08-10 02:05:36', 'startCamera is in initializing...']
['2023-08-10 02:05:36', 'cam_initial']
['2023-08-10 02:05:36', 'startCamera initial is done']
['2023-08-10 02:05:46', 'startCamera is in initializing...']
['2023-08-10 02:05:46', 'cam_initial']
['2023-08-10 02:05:46', 'startCamera initial is done']
['2023-08-10 02:06:49', '***** BK Solution Work Logger Start *****']
['2023-08-10 02:06:54', 'startCamera is in initializing...']
['2023-08-10 02:06:54', 'cam_initial']
['2023-08-10 02:06:54', 'startCamera initial is done']
['2023-08-10 02:08:20', '***** BK Solution Work Logger Start *****']
['2023-08-10 02:08:24', 'startCamera is in initializing...']
['2023-08-10 02:08:24', 'cam_initial']
['2023-08-10 02:08:24', 'startCamera initial is done']
['2023-08-10 02:08:30', 'imagesave_thread./ImageSave_2023-08-10/20230810_020830.png Saved']
['2023-08-10 02:08:32', 'Job_UpdateSensorDistance->is_good_to_go: True']
['2023-08-10 02:08:32', 'Job_UpdateSensorDistance->handle: -105 mm']
['2023-08-10 02:08:32', 'Job_CheckSensorDistance->is_good_to_go: True']
['2023-08-10 02:08:32', 'Job_CheckSensorDistance->handle: False']
['2023-08-10 02:08:32', 'Job_UpdateSensorDistance->is_good_to_go: True']
['2023-08-10 02:08:32', 'Job_UpdateSensorDistance->handle: 0 mm']
['2023-08-10 02:08:32', 'Job_CheckSensorDistance->is_good_to_go: True']
['2023-08-10 02:08:32', 'Job_CheckSensorDistance->handle: True']
['2023-08-10 02:08:32', 'Job_AskGrabImage->is_good_to_go: True']
