['2023-08-10 01:09:28', '***** BK Solution Work Logger Start *****']
['2023-08-10 01:27:15', '***** BK Solution Work Logger Start *****']
['2023-08-10 01:28:41', '***** BK Solution Work Logger Start *****']
['2023-08-10 01:30:58', '***** BK Solution Work Logger Start *****']
['2023-08-10 01:31:45', '***** BK Solution Work Logger Start *****']
['2023-08-10 01:32:16', '***** BK Solution Work Logger Start *****']
['2023-08-10 01:34:14', '***** BK Solution Work Logger Start *****']
['2023-08-10 01:38:10', '***** BK Solution Work Logger Start *****']
['2023-08-10 01:40:47', '***** BK Solution Work Logger Start *****']
['2023-08-10 01:40:58', 'Job_UpdateSensorDistance->is_good_to_go: True']
['2023-08-10 01:41:52', '***** BK Solution Work Logger Start *****']
['2023-08-10 01:41:58', 'Job_UpdateSensorDistance->is_good_to_go: True']
['2023-08-10 01:42:41', '***** BK Solution Work Logger Start *****']
['2023-08-10 01:43:21', '***** BK Solution Work Logger Start *****']
['2023-08-10 01:47:24', '***** BK Solution Work Logger Start *****']
['2023-08-10 01:47:59', 'Job_UpdateSensorDistance->is_good_to_go: True']
['2023-08-10 01:49:03', '***** BK Solution Work Logger Start *****']
['2023-08-10 01:49:10', 'Job_UpdateSensorDistance->is_good_to_go: True']
['2023-08-10 01:49:10', 'Job_UpdateSensorDistance->handle: -106 mm']
['2023-08-10 01:49:10', 'Job_CheckSensorDistance->is_good_to_go: True']
['2023-08-10 01:50:48', '***** BK Solution Work Logger Start *****']
['2023-08-10 01:50:54', 'startCamera is in initializing...']
['2023-08-10 01:50:54', 'cam_initial']
['2023-08-10 01:50:55', 'startCamera initial is done']
['2023-08-10 01:50:56', 'Job_UpdateSensorDistance->is_good_to_go: True']
['2023-08-10 01:50:56', 'Job_UpdateSensorDistance->handle: -106 mm']
['2023-08-10 01:50:56', 'Job_CheckSensorDistance->is_good_to_go: True']
['2023-08-10 01:52:03', '***** BK Solution Work Logger Start *****']
['2023-08-10 01:52:08', 'Job_UpdateSensorDistance->is_good_to_go: True']
['2023-08-10 01:52:08', 'Job_UpdateSensorDistance->handle: -106 mm']
['2023-08-10 01:52:08', 'Job_CheckSensorDistance->is_good_to_go: True']
